ScenActID,RelModID,MediaID,Pct,ScenarioID
0,0,0,4.00000000e+00,41
0,0,11,8.64000015e+01,41
0,0,13,9.60000038e+00,41
1,0,9,1.00000000e+02,83
2,0,0,1.00000000e+01,83
2,0,8,9.00000000e+01,83
3,0,8,1.00000000e+02,83
0,0,0,1.00000000e+02,84
1,0,9,1.00000000e+02,84
1,1,0,1.00000000e+02,84
2,0,0,1.00000000e+02,84
3,0,0,1.00000000e+01,84
3,0,8,9.00000000e+01,84
4,0,8,1.00000000e+02,84
4,1,0,1.00000000e+02,84
0,0,9,1.00000000e+02,85
0,1,0,1.00000000e+02,85
1,0,0,1.00000000e+02,85
2,0,0,1.00000000e+02,85
3,0,0,1.00000000e+02,85
4,0,0,1.00000000e+02,85
4,1,9,1.00000000e+02,85
5,0,3,1.00000000e+02,85
1,0,9,1.00000000e+02,86
2,0,12,1.00000000e+02,86
3,0,7,1.00000000e+02,86
4,0,13,1.00000000e+00,86
4,0,14,3.60000000e+01,86
5,0,11,1.00000000e+02,86
1,0,13,1.00000000e+02,87
0,0,13,1.00000000e+02,88
1,0,3,1.00000000e+02,88
0,0,0,1.00000000e+02,89
1,0,0,1.00000000e+02,89
1,1,6,1.00000000e+02,89
0,0,6,1.00000000e+00,91
0,0,15,9.90000000e+01,91
1,0,9,1.00000000e+02,92
2,0,13,1.00000000e+02,92
3,0,13,1.00000000e+02,92
4,0,13,1.00000000e+02,92
0,0,13,1.00000000e+02,93
1,0,13,1.00000000e+02,93
2,0,13,1.00000000e+02,93
4,0,3,1.00000000e+02,93
5,0,8,1.00000000e+02,93
1,0,9,1.00000000e+02,94
2,0,13,1.00000000e+02,94
3,0,13,1.00000000e+02,94
4,0,13,1.00000000e+02,94
0,0,13,1.00000000e+02,95
1,0,13,1.00000000e+02,95
2,0,13,1.00000000e+02,95
4,0,3,1.00000000e+02,95
5,0,8,1.00000000e+02,95
0,0,9,1.00000000e+02,96
2,0,9,1.00000000e+02,96
0,0,9,1.00000000e+02,97
2,0,3,1.00000000e+02,97
3,0,9,1.00000000e+02,97
0,0,9,1.00000000e+02,98
0,1,0,1.00000000e+02,98
1,0,0,1.00000000e+02,98
2,0,0,1.00000000e+02,98
3,0,0,1.00000000e+02,98
4,0,9,1.00000000e+02,98
4,1,0,1.00000000e+02,98
5,0,0,1.00000000e+02,98
0,0,9,1.00000000e+02,99
2,0,8,1.00000000e+02,99
0,0,8,1.00000000e+02,100
2,0,3,1.00000000e+02,100
3,0,9,1.00000000e+02,100
0,0,9,1.00000000e+02,101
0,1,0,1.00000000e+02,101
1,0,0,1.00000000e+02,101
2,0,0,1.00000000e+02,101
3,0,0,1.00000000e+02,101
4,0,8,1.00000000e+02,101
4,1,0,1.00000000e+02,101
5,0,0,1.00000000e+02,101
6,0,0,1.00000000e+02,101
1,0,12,1.00000000e+02,102
2,0,9,1.00000000e+02,102
3,0,8,1.00000000e+02,102
5,0,9,1.00000000e+02,102
0,0,9,1.00000000e+02,103
1,0,8,1.00000000e+02,103
3,0,9,1.00000000e+02,103
4,0,3,1.00000000e+02,103
5,0,9,1.00000000e+02,103
0,0,0,1.00000000e+02,104
1,0,12,1.00000000e+02,104
1,1,0,1.00000000e+02,104
2,0,0,1.00000000e+02,104
3,0,9,1.00000000e+02,104
3,1,0,1.00000000e+02,104
4,0,0,1.00000000e+02,104
4,1,8,1.00000000e+02,104
5,0,0,1.00000000e+02,104
6,0,9,1.00000000e+02,104
7,0,0,1.00000000e+02,104
0,0,13,1.00000000e+02,105
1,0,0,5.00000000e+01,105
1,0,13,5.00000000e+01,105
3,0,9,1.00000000e+02,105
1,0,9,1.00000000e+02,106
2,0,12,1.00000000e+02,106
3,0,13,1.00000000e+02,106
4,0,0,5.00000000e+01,106
4,0,13,5.00000000e+01,106
1,0,9,1.00000000e+02,107
2,0,12,1.00000000e+02,107
3,0,0,5.00000000e+01,107
3,0,13,5.00000000e+01,107
4,0,13,1.00000000e+02,107
5,0,12,1.00000000e+02,107
1,0,9,1.00000000e+02,108
2,0,9,1.00000000e+02,108
3,0,0,1.00000000e+01,108
3,0,8,9.00000000e+01,108
0,0,0,1.00000000e+02,109
1,0,9,1.00000000e+02,109
1,1,0,1.00000000e+02,109
2,0,9,1.00000000e+02,109
2,1,0,1.00000000e+02,109
3,0,0,1.00000000e+01,109
3,0,8,9.00000000e+01,109
4,0,0,1.00000000e+02,109
1,0,9,1.00000000e+02,110
2,0,13,1.00000000e+02,110
3,0,9,1.00000000e+02,110
4,0,10,1.00000000e+02,110
0,0,9,1.00000000e+02,111
1,0,8,1.00000000e+02,111
2,0,7,1.00000000e+02,111
3,0,13,1.00000000e+02,111
4,0,13,1.00000000e+02,111
0,0,13,1.00000000e+02,112
1,0,13,1.00000000e+02,112
3,0,9,1.00000000e+02,112
0,0,9,1.00000000e+02,113
1,0,3,1.00000000e+02,113
2,0,13,1.00000000e+02,113
3,0,13,1.00000000e+02,113
1,0,8,1.00000000e+02,114
2,0,8,1.00000000e+02,114
3,0,0,4.00000000e+00,114
3,0,8,9.60000000e+01,114
