NumericCas,CASNumber,ChemicalName,MW,PEL-TWA,PEL-TWAConvert,PEL-TWAmgm3,PEL-TWAmgm3Convert,NOTEPEL,PEL-STEL,PEL-STELConvert,PEL-STELmgm3,PEL-STELmgm3Convert,PEL-CL,PEL-CLConvert,PEL-CLmgm3,PEL-CLmgm3Convert,PEL-mpcfa,PEL-COMMENTS,REL-TWA,REL-TWAConvert,REL-TWAmgm3,REL-TWAmgm3Convert,NOTEREL,REL-STEL,REL-STELConvert,REL-STELmgm3,REL-STELmgm3Convert,REL-CL,REL-CLConvert,REL-CLmgm3,REL-CLmgm3Convert,RELFCC,REL-COMMENTS
128370,128-37-0,"2,6-DI-TERT-BUTYL-P-CRESOL",2.2038999999999999e+02,,0,,0,,,0,,0,,0,,0,,,1.1093969780843052e+00,1,1.0000000000000000e+01,0,,,0,,0,,0,,0,,NONE.
131113,131-11-3,DIMETHYL PHTHALATE,1.9419999999999999e+02,6.2950566426364574e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,6.2950566426364574e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.
133062,133-06-2,CAPTAN,3.0058999999999997e+02,,0,,0,,,0,,0,,0,,0,,,4.0670015635916035e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.
136787,136-78-7,CRAG HERBICIDE,3.0910000000000002e+02,3.9550307343901647e-01,1,5.0000000000000000e+00,0,respirable fraction,,0,,0,,0,,0,,SYN - SESONE.,3.9550307343901647e-01,1,5.0000000000000000e+00,0,respirable fraction,,0,,0,,0,,0,,SYN - SESONE.
137053,137-05-3,METHYL 2-CYANOACRYLATE,,,0,,0,,,0,,0,,0,,0,,,2.0000000000000000e+00,0,8.0000000000000000e+00,0,,4.0000000000000000e+00,0,1.6000000000000000e+01,0,,0,,0,,NONE.
137268,137-26-8,THIRAM,2.4044000000000000e+02,5.0844285476626183e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,5.0844285476626183e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.
138227,138-22-7,N-BUTYL LACTATE,1.4621000000000001e+02,,0,,0,,,0,,0,,0,,0,,,5.0000000000000000e+00,0,2.5000000000000000e+01,0,,,0,,0,,0,,0,,NONE.
140885,140-88-5,ETHYL ACRYLATE,1.0013000000000000e+02,2.5000000000000000e+01,0,1.0000000000000000e+02,0,,,0,,0,,0,,0,,NONE.,,0,,0,,,0,,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION.
141322,141-32-2,BUTYL ACRYLATE,1.2819000000000000e+02,,0,,0,,,0,,0,,0,,0,,,1.0000000000000000e+01,0,5.5000000000000000e+01,0,,,0,,0,,0,,0,,SYN - N-BUTYL ACRYLATE.
141435,141-43-5,ETHANOLAMINE,6.1100000000000001e+01,3.0000000000000000e+00,0,6.0000000000000000e+00,0,,,0,,0,,0,,0,,SYN - 2-AMINOETHANOL.,3.0000000000000000e+00,0,8.0000000000000000e+00,0,,6.0000000000000000e+00,0,1.5000000000000000e+01,0,,0,,0,,SYN - 2-AMINOETHANOL.
141662,141-66-2,DICROTOPHOS,2.3722000000000000e+02,,0,,0,,,0,,0,,0,,0,,,2.5767220301829524e-02,1,2.5000000000000000e-01,0,,,0,,0,,0,,0,,SYN - BIDRIN.
141786,141-78-6,ETHYL ACETATE,8.8120000000000005e+01,4.0000000000000000e+02,0,1.4000000000000000e+03,0,,,0,,0,,0,,0,,NONE.,4.0000000000000000e+02,0,1.4000000000000000e+03,0,,,0,,0,,0,,0,,NONE.
141797,141-79-7,MESITYL OXIDE,9.8159999999999997e+01,2.5000000000000000e+01,0,1.0000000000000000e+02,0,,,0,,0,,0,,0,,NONE.,1.0000000000000000e+01,0,4.0000000000000000e+01,0,,,0,,0,,0,,0,,NONE.
142643,142-64-3,PIPERAZINE DIHYDROCHLORIDE,1.5906000000000000e+02,,0,,0,,,0,,0,,0,,0,,,7.6857789513391173e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.
142825,142-82-5,HEPTANE,1.0023000000000000e+02,5.0000000000000000e+02,0,2.0000000000000000e+03,0,,,0,,0,,0,,0,,SYN - N-HEPTANE.,8.5000000000000000e+01,0,3.5000000000000000e+02,0,,,0,,0,4.4000000000000000e+02,0,1.8000000000000000e+03,0,,SYN - N-HEPTANE.  VALUE BASED ON 15 MINUTES.
143102,143-10-2,1-DECANETHIOL,,,0,,0,,,0,,0,,0,,0,,,,0,,0,,,0,,0,5.0000000000000000e-01,0,3.6000000000000001e+00,0,,NONE.
143339,143-33-9,SODIUM CYANIDE,2.6020000000000000e+01,4.6983089930822448e+00,1,5.0000000000000000e+00,0,as Cn,,0,,0,,0,,0,,NONE.,,0,,0,as Cn,,0,,0,4.7000000000000002e+00,0,5.0000000000000000e+00,0,,VALUES BASED ON 10 MINUTES.
143500,143-50-0,KEPONE,4.9060000000000002e+02,,0,,0,,,0,,0,,0,,0,,,4.9836934366082344e-05,1,1.0000000000000000e-03,0,,,0,,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION.
144627,144-62-7,OXALIC ACID,9.0040000000000006e+01,2.7154597956463788e-01,1,1.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,2.7154597956463788e-01,1,1.0000000000000000e+00,0,,5.4309195912927577e-01,1,2.0000000000000000e+00,0,,0,,0,,NONE.
148016,148-01-6,DINITOLMIDE,2.2516000000000000e+02,,0,,0,,,0,,0,,0,,0,,,5.4294723751998575e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,"SYN - 3,5-DINTIRO-O-TOLUAMIDE."
150765,150-76-5,4-METHYOXYPHENOL,1.2415000000000001e+02,,0,,0,,,0,,0,,0,,0,,,9.8469593233991137e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.
151508,151-50-8,POTASSIUM CYANIDE,2.6020000000000000e+01,4.6983089930822448e+00,1,5.0000000000000000e+00,0,as Cn,,0,,0,,0,,0,,SYN - POTASSIUM CYANIDE.,,0,,0,as Cn,,0,,0,4.7000000000000002e+00,0,5.0000000000000000e+00,0,,SYN - POTASSIUM CYANIDE.  VALUES BASED ON 10 MINUTES.
151677,151-67-7,HALOTHANE,,,0,,0,,,0,,0,,0,,0,,,,0,,0,,,0,,0,2.0000000000000000e+00,0,1.6199999999999999e+01,0,,VALUE BASED ON 60 MINUTES.  REL FOR EXPOSURE TO WASTE AN ANESTHETIC GAS.
156627,156-62-7,CALCIUM CYANAMIDE,8.0109999999999999e+01,,0,,0,,,0,,0,,0,,0,,,1.5260267132692548e-01,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,NONE.
287923,287-92-3,CYCLOPENTANE,7.0150000000000006e+01,,0,,0,,,0,,0,,0,,0,,,6.0000000000000000e+02,0,1.7200000000000000e+03,0,,,0,,0,,0,,0,,NONE.
,,MERCURY (ORGANO) ALKYL COMPOUNDS,2.0059000000000000e+02,1.2189042325140833e-03,1,1.0000000000000000e-02,0,as Hg,,0,,0,4.8756169300563333e-03,1,4.0000000000000001e-02,0,,NONE.,1.2189042325140833e-03,1,1.0000000000000000e-02,0,as Hg,,0,,0,,0,,0,,
,,MINERAL WOOD FIBER,,,0,5.0000000000000000e+00,0,respirable portion,,0,,0,,0,,0,,,,0,5.0000000000000000e+00,0,,,0,,0,,0,,0,,"3 MILLION FIBERS/M3 (FIBERS EQUAL TO OR LESS THAN 3.5 UM IN DIAMETER AND EQUAL TO OR GREATER THAN 10 UM LONG), 5 MG/M3 TWA (TOTAL MINERAL WOOL DUST)."
,,COAL DUST <5% SiO2,,,0,2.3999999999999999e+00,0,,,0,,0,,0,,0,,NONE.,,0,,0,,,0,,0,,0,,0,,
,,COKE OVEN EMISSIONS,,,0,1.4999999999999999e-01,0,,,0,,0,,0,,0,,SEE 29 CFR 1910.1029.,,0,5.0000000000000000e-01,0,,,0,,0,,0,,0,,TOTAL PARTICULATES AS SCREENING LEVEL. LOWEST FEASIBLE CONCENTRATION.
,,"GRAIN DUST, OAT, WHEAT, BARLEY",,,0,1.0000000000000000e+01,0,,,0,,0,,0,,0,,NONE.,,0,4.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.
,,CHROMIUM (II) COMPOUNDS,5.2000000000000000e+01,2.3509615384615384e-01,1,5.0000000000000000e-01,0,as Cr,,0,,0,,0,,0,,,2.3509615384615384e-01,1,5.0000000000000000e-01,0,as Cr,,0,,0,,0,,0,,NONE.
75127,75-12-7,FORMAMIDE,4.5049999999999997e+01,,0,,0,,,0,,0,,0,,0,,,1.0000000000000000e+01,0,1.5000000000000000e+01,0,,,0,,0,,0,,0,,
7782492,7782-49-2,SELENIUM,7.8959999999999994e+01,6.1930091185410346e-02,1,2.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.,,0,2.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.
13494809,13494-80-9,TELLERIUM,1.2759999999999999e+02,1.9161442006269597e-02,1,1.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.,1.9161442006269597e-02,1,1.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.
7440672,7440-67-2,ZIRCONIUM,9.1219999999999999e+01,1.3401666301249726e+00,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,1.3401666301249726e+00,1,5.0000000000000000e+00,0,,2.6803332602499452e+00,1,1.0000000000000000e+01,0,,0,,0,,VALUE FOR ZIRCONIUM COMPOUNDS EXCEPT ZIRCONIUM TETRACHLORIDE.
,,CHROMIUM (III) COMPOUNDS,5.2000000000000000e+01,2.3509615384615384e-01,1,5.0000000000000000e-01,0,as Cr,,0,,0,,0,,0,,,2.3509615384615384e-01,1,5.0000000000000000e-01,0,as Cr,,0,,0,,0,,0,,NONE.
,,ROSIN CORE SOLDER PYROLYSIS PRODUCTS (AS FORMALDEHYDE),3.0030000000000001e+01,,0,,0,,,0,,0,,0,,0,,,8.1418581418581423e-02,1,1.0000000000000001e-01,0,,,0,,0,,0,,0,,"VALUE BASED ON 15 MINUTES IN THE PRESENCE OF FORMALDEHYDE, ACETALDEHYDE, OR MALONALDEHYDE."
,,WOOD DUST,,,0,5.0000000000000000e+00,0,respirable fraction,,0,,0,,0,,0,,,,0,1.0000000000000000e+00,0,,,0,,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION.
,,"IRON SALTS, SOLUBLE",5.5850000000000001e+01,,0,,0,as Fe,,0,,0,,0,,0,,,4.3777976723366158e-01,1,1.0000000000000000e+00,0,as Fe,,0,,0,,0,,0,,NONE.
,,"ALUMINUM, PYRO POWDERS AND WELDING FUMES",2.6980000000000000e+01,,0,,0,as Al,,0,,0,,0,,0,,NONE.,4.5311341734618233e+00,1,5.0000000000000000e+00,0,as Al,,0,,0,,0,,0,,
59355758,59355-75-8,METHYL ACETYLENE-PROPADIENE MIXTURE,4.0070000000000000e+01,1.0000000000000000e+03,0,1.8000000000000000e+03,0,,,0,,0,,0,,0,,NONE.,1.0000000000000000e+03,0,1.8000000000000000e+03,0,,1.2500000000000000e+03,0,2.2500000000000000e+03,0,,0,,0,,NONE.
,,"COTTON, RAW",,,0,1.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,,0,,0,,,0,,0,,0,,0,,
,,IRON OXIDE,5.5850000000000001e+01,4.3777976723366159e+00,1,1.0000000000000000e+01,0,dust and fume; as Fe,,0,,0,,0,,0,,NONE.,2.1888988361683079e+00,1,5.0000000000000000e+00,0,"dust and fume, as Fe",,0,,0,,0,,0,,
,,FIBROUS GLASS,,,0,5.0000000000000000e+00,0,respirable fraction,,0,,0,,0,,0,,NONE.,,0,5.0000000000000000e+00,0,total,,0,,0,,0,,0,3,(FIBERS LESS THAN OR EQUAL TO 3.5 UM IN DIAMETER AND LESS THAN OR EQUAL TO 10 UM IN LENGTH)  5 MG/M3 (TOTAL).  UNITS ARE F/CC.
,,HEXANE ISOMERS,,,0,,0,,,0,,0,,0,,0,,,1.0000000000000000e+02,0,3.5000000000000000e+02,0,,,0,,0,5.1000000000000000e+02,0,1.8000000000000000e+03,0,,SYN - N-HEXANE CAS NUMBER 110-54-3.  VALUES BASED ON 15 MINUTES.
7440417,7440-41-7,BERYLLIUM,9.0099999999999998e+00,5.4273029966703662e-03,1,2.0000000000000000e-03,0,,6.7841287458379584e-02,1,2.5000000000000001e-02,0,5.0000000000000001e-03,0,1.8425357873210633e-03,1,,NONE.,1.3568257491675915e-03,1,5.0000000000000001e-04,0,,,0,,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION NOT TO EXCEED 0.0005 MG/M3.
50000,50-00-0,FORMALDEHYDE,3.0030000000000001e+01,7.5000000000000000e-01,0,9.2116564417177915e-01,1,,2.0000000000000000e+00,0,2.4564417177914111e+00,1,,0,,0,,SEE 29 CFR 1910.1048.,1.6000000000000000e-02,0,1.9651533742331289e-02,1,,,0,,0,1.0000000000000001e-01,0,1.2282208588957055e-01,1,,VALUE BASED ON 15 MINUTES.  LOWEST FEASIBLE CONCENTRATION.
50293,50-29-3,DICHLORODIPHENYLTRICHLOROETHANE,3.5448000000000002e+02,6.8974272173324302e-02,1,1.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,3.4487136086662151e-02,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION.
50782,50-78-2,ACETYLSALICYCLIC ACID,1.8016999999999999e+02,,0,,0,,,0,,0,,0,,0,,,6.7852583670977418e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,SYN - ASPIRIN.
54115,54-11-5,NICOTINE,1.6225999999999999e+02,7.5342043633674347e-02,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,NONE.,7.5342043633674347e-02,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,NONE.
55630,55-63-0,NITROGLYCERINE,2.2711000000000001e+02,,0,,0,,,0,,0,2.0000000000000001e-01,0,2.0000000000000000e+00,0,,SYN - NG.,,0,,0,,1.0765708247104927e-02,1,1.0000000000000001e-01,0,,0,,0,,SYN - NG.
56235,56-23-5,CARBON TETRACHLORIDE,1.5381000000000000e+02,1.0000000000000000e+01,0,6.2907975460122699e+01,1,,2.0000000000000000e+02,0,1.2581595092024540e+03,1,2.5000000000000000e+01,0,1.5726993865030676e+02,1,,VALUES FROM PEL TABLE Z-2: ACCEPTABLE MAXIMUM PEAK ABOVE THE ACCEPTABLE MAXIMUM CEILING CONCENTRATION FOR AN 8-HOUR SHIFT: 200 PPM/5 MIN. IN ANY 4 HRS. B. NIOSH - VALUES BASED ON 60 MINUTES.,,0,,0,,2.0000000000000000e+00,0,1.2600000000000000e+01,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION. VALUE BASED ON 60 MINUTES.
56382,56-38-2,PARATHION,2.9127999999999997e+02,8.3939851689096411e-03,1,1.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.,4.1969925844548206e-03,1,5.0000000000000003e-02,0,,,0,,0,,0,,0,,NONE.
56815,56-81-5,GLYCERIN,9.2109999999999999e+01,1.3272174573879059e+00,1,5.0000000000000000e+00,0,respirable fraction,,0,,0,,0,,0,,NONE.,,0,,0,,,0,,0,,0,,0,,
57147,57-14-7,"1,1-DIMETHYLHYDRAZINE",6.0119999999999997e+01,5.0000000000000000e-01,0,1.0000000000000000e+00,0,,,0,,0,,0,,0,,VALUES BASED ON 120 MINUTES.,,0,,0,,,0,,0,5.9999999999999998e-02,0,1.4999999999999999e-01,0,,LOWEST FEASIBLE CONCENTRATION.  VALUE BASED ON 2 HOURS
57249,57-24-9,STRYCHNINE,3.3444999999999999e+02,1.0965764688294213e-02,1,1.4999999999999999e-01,0,,,0,,0,,0,,0,,NONE.,1.0965764688294213e-02,1,1.4999999999999999e-01,0,,,0,,0,,0,,0,,NONE.
57501,57-50-1,SUCROSE,3.4233999999999997e+02,3.5710112753403050e-01,1,5.0000000000000000e+00,0,respirable fraction,,0,,0,,0,,0,,NONE.,3.5710112753403050e-01,1,5.0000000000000000e+00,0,respirable fraction,,0,,0,,0,,0,,NONE.
57749,57-74-9,CHLORDANE,4.0975999999999999e+02,2.9834537290121046e-02,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,NONE.,2.9834537290121046e-02,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,NONE.
298000,298-00-0,METHYL PARATHION,2.6322000000000003e+02,,0,,0,,,0,,0,,0,,0,,,1.8577615682698882e-02,1,2.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.
298022,298-02-2,PHORATE,2.6038999999999999e+02,,0,,0,,,0,,0,,0,,0,,,4.6948807557893940e-03,1,5.0000000000000003e-02,0,,1.8779523023157576e-02,1,2.0000000000000001e-01,0,,0,,0,,SYN - THIMET.
298044,298-04-4,DISULFOTON,2.7442000000000002e+02,,0,,0,,,0,,0,,0,,0,,,8.9097004591502087e-03,1,1.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.
299843,299-84-3,RONNEL,3.2154000000000002e+02,1.1406045904086584e+00,1,1.5000000000000000e+01,0,,,0,,0,,0,,0,,NONE.,7.6040306027243887e-01,1,1.0000000000000000e+01,0,,,0,,0,,0,,0,,NONE.
299865,299-86-5,CRUFOMATE,2.9172000000000003e+02,,0,,0,,,0,,0,,0,,0,,,4.1906622788975728e-01,1,5.0000000000000000e+00,0,,1.6762649115590291e+00,1,2.0000000000000000e+01,0,,0,,0,,NONE.
300765,300-76-5,"DIMETHYL-1,2-DIBROMO-2,2-DICHLOROETHYL PHOSPHATE",3.8080000000000001e+02,1.9262079831932771e-01,1,3.0000000000000000e+00,0,,,0,,0,,0,,0,,SYN - NALED; DIBROM.,1.9262079831932771e-01,1,3.0000000000000000e+00,0,,,0,,0,,0,,0,,SYN - NALED; DIBROM.
302012,302-01-2,HYDRAZINE,3.2060000000000002e+01,1.0000000000000000e+00,0,1.3000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,,0,,0,,,0,,0,2.9999999999999999e-02,0,4.0000000000000001e-02,0,,LOWEST FEASIBLE CONCENTRATION.  VALUES BASED ON 120 MINUTES.
309002,309-00-2,ALDRIN,3.6489999999999998e+02,1.6751164702658264e-02,1,2.5000000000000000e-01,0,,,0,,0,,0,,0,,NONE.,1.6751164702658264e-02,1,2.5000000000000000e-01,0,,,0,,0,,0,,0,,NONE.
314409,314-40-9,BROMACIL,2.6114999999999998e+02,,0,,0,,,0,,0,,0,,0,,,1.0000000000000000e+00,0,1.0000000000000000e+01,0,,,0,,0,,0,,0,,NONE.
330541,330-54-1,DIURON,2.3311000000000001e+02,,0,,0,,,0,,0,,0,,0,,,1.0488610527218909e+00,1,1.0000000000000000e+01,0,,,0,,0,,0,,0,,NONE.
333415,333-41-5,DIAZINON,3.0438000000000000e+02,,0,,0,,,0,,0,,0,,0,,,8.0327222550758935e-03,1,1.0000000000000001e-01,0,,,0,,0,,0,,0,,NONE.
334883,334-88-3,DIAZOMETHANE,4.2049999999999997e+01,2.0000000000000001e-01,0,4.0000000000000002e-01,0,,,0,,0,,0,,0,,NONE.,2.0000000000000001e-01,0,4.0000000000000002e-01,0,,,0,,0,,0,,0,,NONE.
