ModelID,MediaID,Pct
1,13,100.0
2,13,100.0
3,13,100.0
4,13,100.0
5,13,100.0
6,13,100.0
7,0,100.0
8,0,100.0
9,0,100.0
12,13,100.0
13,0,100.0
14,0,100.0
39,13,100.0
41,0,4.0
41,8,96.0
42,13,100.0
43,0,100.0
48,0,4.0
48,11,86.4
48,13,9.6
51,8,50.0
51,13,50.0
52,8,50.0
52,13,50.0
53,3,100.0
